"Filename","Frame","Time (mins)","OpCode","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Activity","count"
"EP_RS2_A2_20Apr2026_GX028028.MP4",12289,18.6458,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",14355,19.7948,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Tetractenos.hamiltoni","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",15199,20.2641,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",17293,21.4286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX028028.MP4",18615,22.1638,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Tetractenos.hamiltoni","Passing",1
"EP_RS2_A2_20Apr2026_GX038028.MP4",1987,24.7286,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX038028.MP4",16216,32.6415,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Tetractenos.hamiltoni","Passing",1
"EP_RS2_A2_20Apr2026_GX038028.MP4",16883,33.0124,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A2_20Apr2026_GX038028.MP4",18093,33.6853,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Acanthopagrus.australis","Passing",1
"EP_RS2_A2_20Apr2026_GX038028.MP4",18093,33.6853,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Acanthopagrus.australis","Passing",1
"EP_RS2_A2_20Apr2026_GX038028.MP4",18093,33.6853,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Acanthopagrus.australis","Passing",1
"EP_RS2_A2_20Apr2026_GX038028.MP4",18093,33.6853,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Acanthopagrus.australis","Passing",1
"EP_RS2_A2_20Apr2026_GX038028.MP4",18206,33.7482,"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2","Parupeneus.spilurus","Passing",1
"EP_RS2_A6_18June2025_GX012450.MP4",17785,9.8904,"EP_RS2_A6_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A6_18June2025_GX012450.MP4",20461,11.3786,"EP_RS2_A6_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Acanthopagrus.australis","Passing",1
"EP_RS2_A6_18June2025_GX022450.MP4",1228,12.4947,"EP_RS2_A6_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A6_18June2025_GX022450.MP4",5803,15.0389,"EP_RS2_A6_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A6_18June2025_GX022450.MP4",5803,15.0389,"EP_RS2_A6_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.rotundiceps","Chase conspecific",1
"EP_RS2_A6_18June2025_GX022450.MP4",7197,15.8141,"EP_RS2_A6_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A6_18June2025_GX022450.MP4",12699,18.8739,"EP_RS2_A6_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Acanthopagrus.australis","Passing",1
